[Exercise,Equipment,Exercise Type,Major Muscle,Minor Muscle,Example,Notes,Modifications
Glute Bridge March,"Band,Platform",Weight,Legs,Hamstrings,7346ca6c-b218-4a33-8fc7-f522df243390.gif (https://dl.airtable.com/CEVQMLbKSouX9GjRVXpR_7346ca6c-b218-4a33-8fc7-f522df243390.gif),,
Goblet Squat,"Kettlebells,Dumbbells",Weight,Legs,"Glutes,Quads",depositphotos_127641230-stock-photo-kettlebell-goblet-squat.jpg (https://dl.airtable.com/GhZXa41TlGnE4DjPPmWA_depositphotos_127641230-stock-photo-kettlebell-goblet-squat.jpg),,
Halo,"Kettlebells,Dumbbells",Weight,Arms,"Shoulders,Tricep",ebe25b12-cc24-4b29-8d98-9566007ac4a8.gif (https://dl.airtable.com/XfsU9SRQoqRDq99IUeA2_ebe25b12-cc24-4b29-8d98-9566007ac4a8.gif),,
Heart Pump,"Kettlebells,Dumbbells",Weight,Arms,"Bicep,Chest",eac68ec3-15dc-4a6a-806f-aa7572f394b0.gif (https://dl.airtable.com/rTMlSufGTWmbykC4De4Y_eac68ec3-15dc-4a6a-806f-aa7572f394b0.gif),,
High Knees,Body Weight,Cardio,Full Body,,highkneerun-1457044203.gif (https://dl.airtable.com/J9KgeDiSS6CcpoXXCu6v_highkneerun-1457044203.gif),"My coach always says, your high knees tells a lot about your dedication. Do yours like the guy in the gif. Get your knees up or don't bother!","Easier: Running on the spot
Harder: Speed"
Jump Lunges,Body Weight,"Plyo,Cardio",Legs,"Glutes,Quads",6405bfbb-585f-45e8-8834-0c5145f546f6.gif (https://dl.airtable.com/Ba9XRSpLRIK2a7mnAcxp_6405bfbb-585f-45e8-8834-0c5145f546f6.gif),,"Easier: Split Jump, so don't go all the way down into a lunge. Or alternate between regular lunges and lunge jumps"
Jump Rope,Body Weight,Cardio,Full Body,,Sprint-2.gif (https://dl.airtable.com/vMYowb6TRJ6PeXp23MvX_Sprint-2.gif),,Harder: Single Leg
Jumping Jack Push Press,Medicine Ball,Plyo,Full Body,,workoutanniversarygif05570.gif (https://dl.airtable.com/oZVQcwVARtqxWSC7tyFu_workoutanniversarygif05570.gif),,"Easier: Remove the weights, step out instead of jump"
Jumping Jacks,Body Weight,Cardio,Full Body,,jumping-jacks-gif-11.gif (https://dl.airtable.com/4EdvWh9Tre1EKZ9BH9LA_jumping-jacks-gif-11.gif),"Go faster than the gif lady. I chose her because she has good form, your hand should always touch at the top",Easier: Step out instead of jump
Kettlebell Swing,"Kettlebells,Dumbbells","Cardio,Weight",Full Body,,778789f4361994739ce59b8e597d00e7.gif (https://dl.airtable.com/sc9eLj4NTPSdXpxAlVxv_778789f4361994739ce59b8e597d00e7.gif),"When I do these I usually keep my hand close to my body and let my hips ""push"" the movement. If you'd like to experiment, you can use a dumbbell instead
",
Knee Drive,Body Weight,Plyo,Full Body,,skipsgifsmall.gif (https://dl.airtable.com/zk1x1ZczQLaNOaduvTiF_skipsgifsmall.gif),,"Harder: Single-leg jump in the air after the knee drive, hold weights"
Lateral Band Walk,Band,"Cardio,Laps",Legs,Outer Thigh,_CrabWalkSelf2_1_2.gif (https://dl.airtable.com/CF41gTm6RqG9eXo4ZZn1__CrabWalkSelf2_1_2.gif),,
Leg Pull Apart,Band,Weight,"Legs,Back",Outer Thigh,f240c036-c8d8-4d59-8a2b-941a438ea462.gif (https://dl.airtable.com/5BX9RPuRQsanTolgDYcg_f240c036-c8d8-4d59-8a2b-941a438ea462.gif),,
Leg Raise,Body Weight,Weight,Core,,legraise.jpg (https://dl.airtable.com/dXQ5blUQzqkbvODop0DP_legraise.jpg),Hold onto something heavy,
Literally Just Jumping,Body Weight,Plyo,Full Body,"Calves,Glutes",tenor.gif (https://dl.airtable.com/vlcOBT7rRZKO6CPNG3bP_tenor.gif),"No good gifs for this, keep core tight, minimize time on the ground and jump up and down.",
Lying Leg Raises,Body Weight,Weight,Core,,lying.gif (https://dl.airtable.com/poLyFerTtuakObeRkXam_lying.gif),,
Military Plank,Body Weight,Plyo,"Full Body,Arms",Shoulders,Military-Plank-Vicky.gif (https://dl.airtable.com/jKY8uPBNQCmUoiT9oehg_Military-Plank-Vicky.gif),,Easier: Do this from your knees
